banksandCredits,interestIncludedCommissions
2015K1,3.66
2015K2,3.58
2015K3,3.35
2015K4,3.16
2016K1,3.14
2016K2,3.02
2016K3,3.02
2016K4,3.03
2017K1,3.05
2017K2,3.01
2017K3,2.98
2017K4,2.96
2018K1,2.95
2018K2,2.94
2018K3,2.95
2018K4,3.09
2019K1,3.10
2019K2,3.25
2019K3,3.41
2019K4,3.56
2020K1,3.39
2020K2,2.44
2020K3,2.34
2020K4,2.31
2021K1,2.29
2021K2,2.21
2021K3,2.22
2021K4,2.44
2022K1,2.69
2022K2,2.88
2022K3,3.54
2022K4,4.49
2023K1,4.70
2023K2,5.16
2023K3,5.71
2023K4,6.01
2024K1,6.12
2024K2,6.11
2024K3,6.10
2015K1,3.07
2015K2,3.02
2015K3,2.78
2015K4,2.55
2016K1,2.52
2016K2,2.40
2016K3,2.39
2016K4,2.38
2017K1,2.42
2017K2,2.39
2017K3,2.36
2017K4,2.33
2018K1,2.33
2018K2,2.34
2018K3,2.34
2018K4,2.49
2019K1,2.48
2019K2,2.65
2019K3,2.80
2019K4,2.98
2020K1,2.87
2020K2,1.87
2020K3,1.81
2020K4,1.80
2021K1,1.78
2021K2,1.73
2021K3,1.73
2021K4,1.93
2022K1,2.15
2022K2,2.36
2022K3,2.92
2022K4,3.95
2023K1,4.15
2023K2,4.58
2023K3,5.10
2023K4,5.47
2024K1,5.61
2024K2,5.60
2024K3,5.58
2015K1,8.48
2015K2,8.32
2015K3,7.92
2015K4,8.19
2016K1,8.02
2016K2,7.97
2016K3,7.71
2016K4,7.76
2017K1,7.88
2017K2,7.69
2017K3,7.52
2017K4,7.42
2018K1,7.93
2018K2,7.96
2018K3,7.87
2018K4,7.96
2019K1,7.54
2019K2,7.79
2019K3,7.97
2019K4,8.00
2020K1,7.26
2020K2,6.97
2020K3,6.54
2020K4,6.29
2021K1,6.35
2021K2,5.94
2021K3,5.63
2021K4,5.74
2022K1,5.85
2022K2,5.92
2022K3,6.34
2022K4,7.01
2023K1,7.07
2023K2,7.35
2023K3,7.76
2023K4,7.99
2024K1,8.19
2024K2,8.22
2024K3,8.36
2015K1,2.26
2015K2,2.15
2015K3,2.08
2015K4,2.10
2016K1,1.90
2016K2,1.85
2016K3,1.63
2016K4,1.74
2017K1,1.83
2017K2,1.83
2017K3,1.75
2017K4,1.84
2018K1,.
2018K2,.
2018K3,.
2018K4,.
2019K1,.
2019K2,.
2019K3,.
2019K4,.
2020K1,.
2020K2,.
2020K3,.
2020K4,.
2021K1,.
2021K2,.
2021K3,.
2021K4,.
2022K1,.
2022K2,.
2022K3,.
2022K4,.
2023K1,.
2023K2,.
2023K3,.
2023K4,.
2024K1,.
2024K2,.
2024K3,.